checked_at,AA1239,AA1479,AA1509,AA2578,AA2607,AA3022,AA3048,AA3067,AA3324,AA802,B6111,B6112,DL2570,DL2828,UA1117,UA1186,UA1349,UA1414,UA1606,UA1706,UA2631,UA503,UA717
2026-08-19 06:03:31,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 06:13:30,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 06:23:28,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 06:33:37,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 06:43:29,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 06:53:32,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 07:03:37,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 07:13:41,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 07:23:39,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 07:33:39,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 07:43:33,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 07:53:36,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 08:03:40,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 08:13:36,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 08:23:28,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 08:33:41,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 08:43:35,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 08:53:31,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 09:03:44,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
2026-08-19 09:13:31,128.00,169.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,138.00,138.00,138.00,138.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00
