checked_at,AA1011,AA2448,AA3551,AA4162,DL1544,DL1567,DL2028,DL724,UA1593,UA215,UA2232,UA2773,UA2805,UA307,UA576
2026-08-19 11:05:04,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 11:14:58,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 11:25:13,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 11:34:56,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 11:44:52,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 11:55:10,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 12:05:02,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 12:14:59,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 12:25:16,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 12:35:27,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 12:45:12,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 12:54:52,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 13:05:07,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 13:15:14,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 13:25:05,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 13:35:12,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 13:45:10,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 13:55:08,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 14:05:20,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 14:15:08,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 14:25:14,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 14:35:06,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 14:45:10,69.00,69.00,164.00,69.00,419.00,314.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 14:55:00,69.00,69.00,164.00,69.00,419.00,314.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 15:05:21,69.00,69.00,164.00,69.00,419.00,314.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 15:15:14,69.00,69.00,164.00,69.00,419.00,314.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 15:25:07,69.00,69.00,164.00,69.00,419.00,314.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 15:35:41,69.00,69.00,164.00,69.00,419.00,314.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 15:45:23,69.00,69.00,164.00,69.00,419.00,314.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 15:55:17,69.00,69.00,164.00,69.00,419.00,314.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 16:05:21,69.00,69.00,164.00,69.00,419.00,314.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 16:15:11,69.00,69.00,164.00,69.00,419.00,314.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 16:25:16,69.00,69.00,164.00,69.00,419.00,314.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 16:35:18,69.00,69.00,164.00,69.00,419.00,314.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 16:45:11,69.00,69.00,164.00,69.00,419.00,314.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 16:55:35,69.00,69.00,164.00,69.00,419.00,314.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 17:05:24,69.00,69.00,164.00,69.00,419.00,314.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 17:15:14,69.00,69.00,164.00,69.00,419.00,314.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 17:25:14,69.00,69.00,164.00,69.00,419.00,314.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 17:35:24,69.00,69.00,164.00,69.00,409.00,304.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 17:45:17,69.00,69.00,164.00,69.00,419.00,314.00,114.00,114.00,59.00,69.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 17:55:09,69.00,69.00,164.00,69.00,409.00,304.00,114.00,114.00,59.00,69.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 18:05:21,69.00,69.00,164.00,69.00,409.00,304.00,114.00,114.00,59.00,69.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 18:15:13,69.00,69.00,164.00,69.00,409.00,304.00,114.00,114.00,59.00,69.00,59.00,59.00,59.00,59.00,59.00
