checked_at,AA1476,AA1872,AA2966,AA3105,AS265,AS328,AS410,AS429,AS583,AS587,DL2041,DL2055,DL637,UA2099,UA2618,UA2835,UA341
2026-08-19 05:52:29,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 06:02:27,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 06:12:22,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 06:22:26,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 06:32:32,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 06:42:24,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 06:52:28,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 07:02:31,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 07:12:38,159.00,159.00,159.00,159.00,209.00,139.00,139.00,209.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 07:22:34,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 07:32:29,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 07:42:30,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 07:52:29,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 08:02:34,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 08:12:28,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 08:22:22,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 08:32:35,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 08:42:24,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 08:52:24,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 09:02:36,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 09:12:27,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 09:22:25,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 09:32:34,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 09:42:22,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 09:52:23,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 10:02:30,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 10:12:27,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 10:22:21,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 10:32:24,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 10:42:29,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 10:52:24,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 11:02:30,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 11:12:25,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 11:22:30,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 11:32:24,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 11:42:20,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 11:52:39,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 12:02:26,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 12:12:24,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 12:22:40,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 12:32:39,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 12:42:37,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 12:52:22,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 13:02:31,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 13:12:31,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 13:22:32,159.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
