checked_at,AA54,AA86,AA98,BA1518,BA1543,BA1601,BA294,BA296,BA298,IB3633,IB3635,IB4208,IB4860,IB8552,UA920,UA929,UA938
2026-08-27 19:09:12,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 19:19:08,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 19:29:14,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 19:39:25,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 19:49:16,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 19:59:08,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 20:09:13,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 20:19:13,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 20:39:11,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 20:49:19,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 20:59:20,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 21:09:21,712.00,712.00,712.00,755.00,755.00,755.00,712.00,712.00,712.00,788.00,788.00,788.00,788.00,788.00,712.00,712.00,712.00
2026-08-27 21:19:23,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 21:29:20,712.00,712.00,712.00,755.00,755.00,755.00,712.00,712.00,712.00,711.00,710.00,910.00,788.00,910.00,712.00,712.00,712.00
2026-08-27 21:39:17,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 21:49:19,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 21:59:20,712.00,712.00,712.00,755.00,755.00,755.00,712.00,712.00,712.00,788.00,788.00,910.00,788.00,910.00,712.00,712.00,712.00
2026-08-27 22:09:08,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 22:19:10,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 22:29:18,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 22:39:05,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 22:49:12,712.00,712.00,712.00,719.00,719.00,719.00,715.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 22:59:13,712.00,712.00,712.00,,,,715.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 23:09:15,712.00,712.00,712.00,719.00,719.00,719.00,715.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 23:19:13,712.00,712.00,712.00,719.00,719.00,719.00,715.00,712.00,712.00,717.00,717.00,798.00,786.00,920.00,712.00,712.00,712.00
2026-08-27 23:29:10,712.00,712.00,712.00,719.00,719.00,719.00,716.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-27 23:39:07,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 23:49:12,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-27 23:59:17,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-28 00:09:06,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-28 00:19:07,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-28 00:29:12,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
2026-08-28 00:39:06,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-28 00:49:10,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-28 00:59:17,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-28 01:09:13,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-28 01:19:15,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-28 01:29:12,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-28 01:39:11,712.00,712.00,712.00,719.00,719.00,719.00,712.00,712.00,712.00,717.00,717.00,717.00,725.00,723.00,712.00,712.00,712.00
2026-08-28 01:49:17,712.00,712.00,712.00,,,,712.00,712.00,712.00,,,,,,712.00,712.00,712.00
