checked_at,watch_id,origin,destination,departure_date,flight_number,price,ok,error
2026-08-04T01:20:21.604098+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T01:20:25.002000+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T01:25:10.887182+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T01:25:14.133106+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T01:25:17.362939+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T01:25:20.675875+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T01:30:19.401659+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T01:30:22.903825+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T01:30:26.468527+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T01:30:29.914347+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T01:35:17.377057+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T01:35:20.727117+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T01:35:24.015219+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T01:35:27.384196+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T01:40:15.404504+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T01:40:19.071632+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T01:40:22.397654+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T01:40:25.670136+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T01:45:11.588207+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T01:45:15.071864+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T01:45:18.317264+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
2026-08-04T01:45:21.560752+00:00,aa6274-aug11,LAX,SFO,2026-08-11,AA6274,218.00,1,
2026-08-04T01:50:12.784403+00:00,ua781-aug11,LAX,SFO,2026-08-11,UA781,148.00,1,
2026-08-04T01:50:16.083406+00:00,dl1421-aug11,LAX,SFO,2026-08-11,DL1421,148.00,1,
2026-08-04T01:50:19.732672+00:00,as1603-aug11,LAX,SFO,2026-08-11,AS1603,148.00,1,
